"geneNames","logpPred","t0LUADoverLUSC","mStop","deviance","aic"
"DSG3",-212,0.01,5,40.1,68.1
"KRT5",-210,0.0107,4,12.5,38.2
"DSC3",-197,0.0175,6,41.5,72.1
"CALML3",-195,0.0138,6,57.8,90
"TP63",-193,0.0308,6,24.2,55.1
"ATP1B3",-193,0.225,5,28.6,57.7
"S1PR5",-190,0.0775,6,98.4,131
"KRT6B",-185,0.0173,5,45.4,76.1
"TRIM29",-183,0.0788,6,39.3,72
"JAG1",-180,0.17,5,60.7,92.2
"PVRL1",-180,0.11,6,8.33,39.2
"CLCA2",-178,0.0138,7,51.6,86.8
"BNC1",-178,0.0244,7,76.8,112
"FAT2",-177,0.0339,7,53.5,89
"KRT6C",-177,0.0183,6,84.8,119
"AP2M1",-177,0.415,6,63.1,96.8
"KRT6A",-176,0.0261,6,68,102
"FAM83B",-174,0.0836,5,42.2,74
"GPR39",-174,5.16,6,42.5,75.9
"CSTA",-172,0.054,7,70.3,107
"ACSL5",-172,5.07,5,74.2,106
"RBM47",-172,2.35,6,65.2,98.8
"RORC",-172,6.34,5,60,92.1
"IRF6",-171,0.218,5,50.3,81.8
"DDAH1",-170,3.52,6,67.2,102
"PARD6G",-169,0.248,5,27,58.8
"PKP1",-169,0.045,6,56.2,89.9
"BICD2",-168,0.332,5,69,101
"PERP",-168,0.205,6,19.3,52.6
"GPC1",-167,0.158,7,40.7,76.5
"GBP6",-167,0.0335,6,25.8,59.7
"LOC642587",-166,0.0483,8,92.8,132
"DAPL1",-163,0.0149,7,94.1,132
"SH3BP1",-163,0.333,6,45.3,80.3
"KCNK5",-163,5.74,8,116,156
"HR",-161,0.059,7,97.4,136
"SERPINB5",-161,0.0805,6,82.4,118
"C3orf21",-160,0.271,6,86.4,122
"KRT16",-160,0.0177,7,67.7,105
"DLG1",-159,0.428,7,64.4,102
"MICALL1",-157,0.327,6,61.2,97.4
"NMNAT3",-157,0.247,6,69.3,105
"ARHGEF38",-157,5,8,134,174
"SMPDL3B",-157,5.46,8,109,150
"TMEM40",-156,0.0895,7,59.7,98.1
"VSNL1",-156,0.0755,10,182,228
"P2RY1",-154,0.136,6,51.3,87.3
"SIAH2",-153,0.341,6,45.1,80.3
"TMEM189",-153,0.42,7,58.4,95.9
"GJB5",-152,0.0808,6,60.8,97.1
"PCYT1A",-152,0.388,7,41.3,79.5
"TBCCD1",-151,0.413,7,133,173
"ADAM23",-151,0.0189,7,78.1,117
"STARD5",-150,0.298,8,60,99.5
"BCL2L15",-150,10.6,8,125,167
"DVL3",-150,0.364,6,86.8,124
"MUC1",-149,5.14,8,94.3,135
"SLC6A8",-149,0.135,7,57.8,96.7
"HNF1B",-149,7.26,7,117,157
"TMC5",-149,5.29,7,99.9,138
"YEATS2",-149,0.35,6,66.4,104
"PGAP1",-148,0.299,7,70.7,109
"TMEM117",-147,0.255,6,70.9,108
"KRT17",-147,0.0469,7,121,161
"FYTTD1",-146,0.484,7,105,145
"LPIN2",-146,3.1,5,78.8,113
"C15orf41",-146,0.372,7,74.6,114
"TMEM63A",-145,2.32,9,110,153
"CELSR2",-145,0.231,6,46.7,83.5
"DENND2C",-145,0.213,7,141,182
"KCTD15",-143,0.32,9,102,146
"SLC41A2",-143,3.09,10,144,190
"COL7A1",-143,0.0816,6,61.2,98.3
"SENP5",-143,0.474,8,100,142
"PTHLH",-143,0.041,8,91,133
"STON2",-142,0.248,8,108,150
"IGSF11",-142,0.0845,7,117,158
"TMTC3",-142,0.407,6,92.3,130
"CD2AP",-142,2.04,7,94.9,135
"ST6GALNAC2",-142,0.251,9,92.7,137
"NTRK2",-141,0.0306,8,112,155
"ST3GAL5",-141,4.26,6,136,174
"FXR1",-140,0.422,9,83,127
"HDGFRP3",-140,0.398,8,144,187
"CAPN8",-140,8.49,7,99.5,140
"TRA2B",-139,0.598,8,111,153
"ATP11B",-139,0.345,7,80.3,120
"CADPS2",-139,2.8,9,151,196
"ABCC5",-138,0.147,8,71.5,114
"OCLN",-138,3.39,9,154,199
"ODZ2",-137,0.0281,9,153,198
"ZNF639",-137,0.428,7,83.7,124
"PSMD2",-137,0.425,6,75.3,113
"SFTA2",-136,7.34,9,135,180
"ABCF3",-136,0.496,8,70.9,112
"COL4A5",-136,0.19,9,128,174
"USP31",-136,0.384,8,108,151
"PTPRZ1",-136,0.0926,10,110,157
"QSOX1",-136,2.45,8,93.2,136
"CENPP",-135,0.333,9,143,188
"SOX15",-135,0.0951,7,89.8,131
"PTDSS1",-135,0.413,6,84.3,122
"MARK1",-135,0.256,9,79.1,124
"CGN",-135,3.58,9,134,180
"ERBB3",-135,2.77,9,130,175
"GJB6",-135,0.0358,9,120,165
"MCC",-134,0.306,9,119,165
"REPS1",-134,0.537,8,94,136
"RGL3",-134,4.56,9,225,272
"NKX2-1",-133,6.56,12,311,364
"FBXO45",-133,0.387,8,104,146
"SUCLG2",-133,1.99,9,189,235
"MGRN1",-132,1.95,7,103,145
"NRARP",-131,0.221,8,102,145
"FZD6",-131,0.431,8,115,159
"GRHL3",-131,0.105,7,82.3,124
"MLPH",-130,4.88,8,184,230
"SESN3",-130,0.171,8,86.9,131
"RNF217",-129,0.27,11,190,241
"SLC44A4",-129,5.57,8,159,204
"C9orf152",-129,6.14,7,168,211
"CDHR1",-129,0.0569,12,314,369
"KRT13",-129,0.0121,11,309,361
"ACOX2",-128,3.85,10,162,210
"WNT2B",-128,0.14,9,124,170
"PIGX",-128,0.352,8,90.3,135
"ABCC6P2",-128,4.43,9,185,232
"ARHGAP12",-127,1.79,7,82.2,124
"TFRC",-127,0.223,10,194,244
"C3orf58",-127,0.282,9,181,229
"ANXA8",-127,0.101,10,203,252
"SPRR2A",-127,0.0106,13,362,419
"TMEM92",-126,3.78,8,133,178
"PGM2",-126,0.42,8,160,205
"DMRT2",-126,0.0571,8,89.7,135
"FAM83D",-125,0.259,8,112,157
"FBXO27",-125,0.164,9,128,175
"LSG1",-125,0.427,10,165,216
"PAK2",-125,0.547,9,132,180
"ZNF385A",-124,0.413,9,153,201
"USH1G",-124,0.0648,8,125,170
"FLJ90757",-124,2.64,11,153,204
"LOC100129034",-124,2.21,8,111,156
"FAM107B",-124,2.53,9,155,202
"RNF168",-123,0.322,10,220,271
"C17orf28",-123,2.99,10,263,314
"SLC2A1",-123,0.173,9,127,175
"MAPKBP1",-123,0.424,9,114,161
"TMEM150A",-123,2.24,8,148,194
"SETD8",-122,0.545,9,113,161
"PARL",-122,0.442,10,139,188
"PLA2R1",-122,0.266,9,147,195
"CCNJL",-122,3.71,9,175,223
"BMP7",-122,0.0969,9,246,295
"FANCE",-122,0.365,8,166,212
"ATP11A",-121,3.83,9,164,213
"KLHL13",-121,0.159,8,160,206
"PLD1",-121,0.295,9,205,254
"DCUN1D1",-121,0.359,8,102,148
"BTBD9",-120,2.61,9,146,194
"IPPK",-120,0.48,11,147,199
"C3orf34",-120,0.307,8,158,205
"C3orf37",-120,0.537,9,136,184
"ERGIC1",-120,1.89,8,173,219
"PRR15L",-120,5.43,11,264,317
"FOXE1",-120,0.0503,11,188,241
"GALM",-119,2.41,10,195,245
"PIK3CA",-119,0.461,9,125,173
"PREP",-119,0.553,9,182,230
"FRMD6",-118,0.277,9,209,259
"KCTD1",-118,0.275,10,164,215
"KIAA1045",-118,0.0623,8,86.5,131
"BCL11A",-118,0.203,9,88.1,136
"COL4A6",-118,0.0654,10,322,374
"CHRM3",-118,0.187,12,223,279
"PLCH1",-118,3.42,10,143,194
"CYB5R2",-117,0.253,9,110,158
"ZFP64",-117,0.533,9,184,232
"LIMK2",-117,0.461,10,192,243
"SOX2",-116,0.113,7,66.9,111
"GOLM1",-116,3.2,9,153,202
"C15orf42",-116,0.27,9,150,199
"MFN1",-116,0.467,11,156,208
"TJP3",-116,3.69,10,272,324
"C4orf34",-116,2.24,11,220,274
"TMEM125",-115,3.91,9,235,285
"SFN",-115,0.233,10,128,179
"HAP1",-115,0.0604,9,278,329
"PRDM11",-115,0.405,7,132,176
"ARSD",-115,2.38,11,141,194
"KPNA4",-115,0.547,10,190,242
"C17orf55",-115,5.2,10,149,201
"CD9",-115,0.373,9,178,228
"DST",-115,0.289,9,149,199
"FMO5",-115,7.48,13,338,397
"EIF5A2",-114,0.312,9,156,204
"KRT14",-114,0.0118,14,451,512
"ACTL6A",-114,0.38,9,139,188
"OPA1",-114,0.503,13,216,273
"METTL8",-114,0.514,9,124,173
"MMP15",-114,2.77,9,152,202
"CYB561D2",-113,1.71,9,141,190
"CXCR7",-113,0.162,12,256,312
"PCDH19",-113,0.0606,11,155,209
"MACC1",-113,3.56,11,198,253
"SPRR1A",-113,0.0156,10,331,385
"PNMA2",-112,4.94,11,260,314
"CEACAM6",-112,6.48,10,173,225
"GMPS",-112,0.438,9,142,191
"NCBP2",-112,0.539,10,148,200
"EPHA10",-112,6.09,11,177,232
"C2orf86",-112,0.485,10,161,213
"FRRS1",-112,0.275,15,276,339
"PRKX",-111,0.333,13,149,206
"WDR53",-111,0.467,11,179,234
"C3orf23",-111,1.76,10,215,268
"DGKA",-111,0.373,8,164,213
"B3GNT5",-110,0.321,9,157,207
"RSRC1",-110,0.461,10,160,213
"RFC4",-110,0.317,11,155,210
"ICA1",-110,3.16,13,416,476
"HRAS",-109,0.479,9,167,218
"PITPNB",-109,0.616,10,172,225
"NAA50",-109,0.52,10,211,264
"EMB",-109,3.19,9,150,201
"PRSS8",-109,2.42,9,225,276
"RNF152",-109,0.259,11,156,210
"FOXN1",-109,0.0526,11,188,243
"LLGL2",-108,2.11,10,158,211
"TRAF3IP2",-108,0.524,11,199,254
"CSDA",-108,0.487,9,253,305
"LOC152217",-108,0.44,10,188,241
"TSLP",-108,0.167,10,177,230
"EIF2B5",-108,0.509,10,160,213
"ANKRD57",-108,0.413,10,168,221
"RAB17",-108,2.81,12,248,307
"GPR87",-107,0.175,9,145,196
"PTGFRN",-107,0.392,11,158,214
"GLOD5",-106,4.59,14,249,310
"GNA14",-106,3.69,10,212,265
"REEP4",-106,0.479,8,128,176
"ABCC3",-106,4.15,12,207,264
"ABCC1",-106,0.292,9,213,265
"FAM13A",-106,2.47,11,232,289
"DIP2B",-106,0.487,11,173,229
"UBXN7",-105,0.429,11,190,246
"SFTA3",-105,5.68,12,290,348
"C1orf210",-105,2.75,12,375,434
"DHX36",-105,0.576,10,188,242
"POLQ",-105,0.308,12,136,193
"E2F7",-105,0.242,8,152,201
"ADH7",-104,0.0276,13,301,363
"GLTP",-104,0.451,9,191,243
"EFNB1",-104,0.332,13,271,332
"RAPGEFL1",-104,0.165,14,247,310
"LGALS7",-104,0.0241,11,261,317
"PLEKHA6",-104,3.95,8,269,319
"TMEM62",-104,2.06,10,229,283
"PRNP",-104,0.416,10,201,256
"VANGL2",-104,0.289,11,189,245
"PTPRS",-103,0.419,11,196,252
"ABCC6",-103,4.16,9,271,322
"COQ3",-103,0.458,13,222,282
"TESK2",-102,0.478,9,194,246
"MVP",-102,2.03,10,216,271
"NFE2L2",-102,0.42,14,254,317
"LPAR3",-102,0.222,12,234,294
"ARMC8",-101,0.652,11,163,219
"ZDHHC9",-101,2.31,11,210,267
"DHX35",-101,0.532,8,120,169
"MICAL3",-101,0.413,11,226,284
"SENP2",-101,0.484,11,186,244
"PRIMA1",-101,0.131,12,249,308
"TMF1",-101,1.56,10,187,242
"RANGAP1",-101,0.54,9,172,224
"TPCN1",-100,1.94,16,257,324
"C9orf7",-100,1.92,11,197,254
"MRPL47",-100,0.471,11,172,229
"CHST7",-99.5,0.292,8,124,174
"ARHGEF4",-98.9,0.225,12,233,294
"MCM2",-98.7,0.362,10,242,298
"PLA2G10",-98.5,10.8,11,174,231
"SLC2A9",-98.5,0.325,10,163,218
"CCDC125",-98.2,1.87,12,225,284
"SMO",-98.2,0.29,12,236,297
"SLC9A3R1",-98.1,0.318,11,179,237
"FAM84A",-98.1,0.234,11,297,355
"CSRP2",-98.1,0.321,12,254,315
"JARID2",-98,0.512,14,244,307
"FZD7",-97.9,0.284,10,151,206
"CENPW",-97.8,0.324,12,240,300
"RPA1",-97.8,0.607,11,207,264
"EIF4G1",-97.8,0.547,11,174,232
"WDFY2",-97.6,0.564,10,200,257
"LYPD3",-97.5,0.123,11,227,286
"PNCK",-97.5,0.0679,14,357,424
"LOC149837",-97.4,2.83,11,208,266
"GAL3ST1",-97.4,5.76,13,348,412
"TMEM133",-97.3,2.24,9,228,281
"TMEM53",-96.9,1.79,11,239,297
"CYP2S1",-96.9,0.2,10,187,243
"ENPP5",-96.7,2.79,9,215,268
"NEK6",-96.7,1.86,11,258,317
"ADA",-96.7,0.327,13,229,292
"ULBP2",-96.5,0.196,12,186,246
"TTL",-96.4,0.603,12,223,283
"KIAA0319L",-96.4,1.73,11,213,270
"MAP3K4",-96.4,0.565,12,218,278
"ANXA8L2",-96.3,0.173,13,373,435
"FCHO2",-96.3,2.06,10,249,305
"CLDN1",-96.3,0.14,13,297,360
"SLAIN1",-96,2.86,9,182,235
"LMO3",-95.9,4.96,11,255,314
"CDC45",-95.9,0.313,12,271,331
"GOLT1A",-95.8,4.93,12,413,474
"DQX1",-95.7,0.135,11,323,382
"FSCN1",-95.5,0.284,12,215,275
"TMEM79",-95.3,0.335,12,143,203
"SYNGR1",-95.2,0.332,12,294,356
"SPRR3",-95.1,0.0178,12,309,371
"MRPS22",-95,0.549,12,193,253
"RND3",-95,0.414,11,217,275
"PTTG1IP",-94.9,1.65,11,223,281
"SNAI2",-94.6,0.233,15,563,633
"MMP24",-93.8,2.62,14,243,308
"C3orf1",-93.8,0.585,10,168,225
"FSCN2",-93.7,3.66,12,231,293
"DLX6",-93.7,0.116,12,219,281
"C6orf167",-93.7,0.498,13,222,286
"C11orf82",-93.6,0.368,12,259,321
"TTLL12",-93.5,0.426,10,188,245
"WASF1",-93.5,0.284,10,168,225
"MYO5C",-93.4,2.41,11,232,291
"LPCAT1",-93.4,3.62,11,294,354
"BLCAP",-93.2,0.538,12,241,304
"C3orf54",-93.2,0.36,11,258,317
"TMEM144",-93.2,1.95,12,232,294
"SOX2OT",-93.1,0.0387,10,179,236
"CD63",-92.9,1.85,13,265,328
"HPN",-92.9,5.01,14,404,472
"GHDC",-92.8,1.7,9,200,255
"ALG3",-92.8,0.455,13,218,281
"JUP",-92.7,0.416,14,285,352
"NAPSA",-92.6,5.28,14,265,329
"RAPH1",-92.6,2.03,14,266,331
"MFSD7",-92.6,2.51,14,235,301
"MYNN",-92.2,0.481,10,214,271
"MRAP2",-92,0.0925,13,330,395
"S100A2",-91.9,0.0711,14,350,418
"EFS",-91.8,0.359,13,264,328
"CLDND1",-91.8,0.487,13,261,325
"FAM162A",-91.6,0.387,13,294,359
"NDUFA4L2",-91.6,0.149,11,352,413
"HSD17B11",-91.5,2.41,11,290,349
"VSTM2L",-91.4,6.94,12,358,421
"MCM5",-91.3,0.493,10,321,379
"SLC16A1",-91.3,0.246,11,466,527
"ECE2",-91.1,0.343,10,242,300
"KIF13B",-91.1,2.47,15,253,321
"EFCAB2",-90.9,2.58,13,305,368
"DLX5",-90.9,0.0682,19,643,721
"RYK",-90.9,0.585,12,191,253
"DGKH",-90.9,0.36,11,208,268
"RARG",-90.8,0.421,11,284,344
"ADCY3",-90.8,0.517,10,307,365
"VPS8",-90.7,0.574,12,195,257
"ACAD9",-90.6,0.647,15,199,265
"ENPP4",-90.5,2.52,10,270,327
"CLDN23",-90.4,2.71,11,387,448
"BTBD11",-90.2,0.19,13,340,406
"ARSE",-89.9,9.82,15,445,515
"LOC220729",-89.9,0.447,12,277,340
"GOLIM4",-89.7,0.475,12,226,289
"ALS2CR4",-89.6,0.524,12,284,347
"CNBP",-89.5,0.661,12,241,305
"KRT15",-89.5,0.0615,15,329,400
"PES1",-89.3,0.585,11,199,259
"TBL1XR1",-89.3,0.491,13,194,257
"NUDT11",-89.2,0.139,11,374,436
"KPNA1",-89.1,0.62,14,255,321
"SH3BGRL2",-89.1,2.63,10,277,335
"ACBD4",-89,1.9,12,245,308
"WBSCR26",-89,4.17,11,274,335
"C3orf26",-88.6,0.474,13,238,303
"ZNF19",-88.5,1.79,11,253,313
"SNCA",-88.3,0.255,12,235,298
"AGR2",-88.1,5.21,13,243,308
"FGFBP1",-88,0.12,14,289,356
"HSPA4L",-88,0.328,13,234,299
"FAM110C",-87.9,0.239,12,143,206
"PRC1",-87.8,0.415,11,250,310
"FANCB",-87.5,0.388,13,247,312
"ARL4D",-87.4,0.296,14,230,297
"SPRR1B",-87.3,0.0471,17,425,499
"CAPNS2",-86.9,0.0556,14,512,581
"FEM1A",-86.8,0.673,13,199,264
"STS",-86.8,2.5,11,212,273
"PPP1R9A",-86.7,2.77,14,431,499
"DNAJB11",-86.6,0.527,14,251,319
"ITGA6",-86.6,0.246,16,511,584
"CDKL2",-86.5,4.64,11,277,338
"PNKD",-86.5,2.09,12,324,388
"HS6ST1",-86.4,0.482,13,301,367
"CHAF1A",-86.4,0.458,15,226,296
"MFSD4",-86.3,5.48,13,167,233
"FANCI",-86.3,0.43,14,222,288
"CACNA2D3",-86.3,0.213,14,238,306
"C1orf74",-86.2,0.447,11,177,239
"PIP5KL1",-86,3.15,11,185,245
"SULT1C2",-85.9,6.06,11,187,248
"TNFRSF10C",-85.6,3.14,16,320,392
"LGSN",-85.5,11.7,13,289,356
"PDCD10",-85.4,0.486,14,280,347
"DSP",-85.3,0.334,11,231,292
"DSC2",-85.1,0.309,14,307,376
"TGM1",-85,0.0888,16,311,384
"SOAT1",-84.8,1.67,13,243,310
"TTC39A",-84.8,2.92,14,388,458
"MAP6D1",-84.5,0.29,12,308,373
"FUCA1",-84.3,2.05,14,255,322
"GPNMB",-84.3,0.247,11,252,314
"KTELC1",-84.3,0.578,13,234,300
"SMC6",-84.2,0.556,13,233,300
"AHCYL2",-84.2,3.56,13,248,314
"C20orf72",-84.1,0.559,13,251,317
"FBL",-84,0.479,12,287,352
"RAD51",-83.9,0.403,12,289,354
"CDCA4",-83.9,0.429,14,300,368
"UMPS",-83.9,0.566,12,269,333
"NRP1",-83.9,2.16,11,261,323
"LTB4R",-83.5,0.28,12,222,287
"ATP2C1",-83.5,0.587,15,410,483
"THOC3",-83.5,0.435,12,260,325
"PTER",-83.4,1.81,14,242,309
"KATNA1",-83.4,0.65,15,333,404
"PHLDB2",-83.4,0.346,13,281,349
"SGK1",-83.4,0.365,12,251,315
"CYB561",-83.3,1.63,12,227,291
"RPH3AL",-83.3,2.77,13,307,374
"RNF7",-83.3,0.549,13,255,322
"ISY1",-83.1,0.676,12,276,341
"IGSF3",-83,0.431,15,199,269
"SCP2",-82.9,1.51,14,241,310
"ARTN",-82.9,0.13,16,444,519
"IYD",-82.9,10.4,16,342,417
"ZNF254",-82.7,2.18,15,342,414
"CLDN3",-82.6,5.48,13,543,611
"LOC646214",-82.5,0.504,15,200,270
"XKR8",-82.4,1.55,12,285,350
"LMNB2",-82.4,0.473,14,264,334
"DPP4",-82.4,6.24,14,468,539
"TXNDC11",-82.4,1.71,12,258,323
"EFCAB4A",-82.2,3.66,17,434,509
"GFM1",-82.2,0.618,14,236,304
"ARHGAP23",-82.2,0.43,11,307,370
"C1orf116",-82.2,3.91,16,275,347
"FGFR2",-82.2,0.315,15,307,378
"RASSF7",-82.2,2.12,14,293,363
"MAPK6",-82.1,0.493,16,348,422
"EXOC6B",-82,0.51,11,239,302
"SHROOM3",-82,2.4,16,373,445
"STK32A",-81.9,6.76,17,591,667
"SORBS2",-81.9,3.76,11,274,336
"FABP5",-81.8,0.147,16,425,500
"GEN1",-81.6,0.496,13,257,325
"CD46",-81.5,1.74,10,285,345
"CCPG1",-81.5,1.75,14,267,336
"UBAC1",-81,0.634,15,261,332
"CISH",-81,2.5,11,286,350
"RAP2B",-81,0.523,14,206,275
"CHST14",-80.9,0.609,13,213,280
"CACNA1B",-80.7,0.0935,14,279,348
"PON2",-80.7,2.29,14,294,364
"LOC100130933",-80.7,6.04,15,523,597
"ACPL2",-80.6,0.468,12,262,326
"ACAD8",-80.6,2.42,13,380,449
"FEM1B",-80.6,0.658,12,294,359
"TET3",-80.4,0.511,16,248,323
"GCC2",-80.4,1.59,14,273,344
"HECA",-80.3,0.603,15,262,334
"HOXD10",-80,0.129,14,314,384
"ACSM3",-79.8,3.7,13,350,419
"RBPMS",-79.6,2.28,13,244,312
"RAB7A",-79.5,0.692,16,276,350
"NAB1",-79.4,0.591,16,280,353
"TCP1",-79.4,0.606,14,247,317
"BLMH",-79.4,0.476,12,254,320
"PWWP2A",-79.3,1.46,13,295,363
"GINS3",-79.3,0.472,12,280,346
"PITX1",-79.1,0.163,15,404,477
"KRI1",-79,0.576,13,229,298
"MALL",-79,2.75,11,223,287
"ARMC9",-78.9,2.2,15,248,319
"NCS1",-78.8,0.438,15,293,365
"ALPK3",-78.6,3.93,14,379,451
"ZDHHC16",-78.6,1.56,12,258,324
"PBXIP1",-78.5,1.86,12,276,342
"C16orf89",-78.5,7.33,12,299,366
"SKP2",-78.4,0.318,17,479,557
"MTA2",-78.3,0.679,14,249,321
"MST1P9",-78.3,7.22,13,274,344
"WNT5A",-78.1,0.26,14,223,293
"C20orf117",-78,0.478,12,254,321
"SPAST",-77.9,0.561,11,224,288
"SLC43A3",-77.8,2.34,12,264,331
"RAB27A",-77.8,2.01,13,305,375
"LRRC20",-77.7,1.98,12,326,393
"C19orf21",-77.7,3.06,14,356,426
"GJA1",-77.6,0.324,13,304,373
"SAMD8",-77.4,0.576,14,270,341
"TRIM8",-77.2,1.73,14,258,328
"SERPINB2",-77.2,0.0408,19,661,745
"TTK",-77.2,0.377,13,285,355
"ZNF436",-77,0.576,14,245,316
"IGF2BP2",-77,0.283,14,241,312
"LOC151009",-76.9,2.88,15,293,367
"NDRG4",-76.9,0.22,14,247,318
"SLC16A4",-76.7,5.1,16,380,457
"NCAPD2",-76.6,0.467,15,287,361
"CDH15",-76.6,7.07,14,404,477
"GYS1",-76.6,0.599,15,266,340
"LTB4R2",-76.5,0.326,15,261,334
"LRCH3",-76.4,0.617,13,244,313
"RASEF",-76.2,2.51,14,296,368
"SIGIRR",-76.2,1.86,12,364,431
"TFAP2A",-76.2,0.302,12,318,387
"MEIS3P1",-76.2,1.88,14,316,388
"FAM131A",-76.2,0.515,14,179,251
"SUOX",-75.8,1.55,13,215,284
"GALNT12",-75.8,2.2,14,221,291
"A4GALT",-75.7,0.339,13,280,350
"ALDH3B1",-75.6,3.95,14,448,521
"PPIF",-75.6,0.505,15,310,384
"ABHD14A",-75.6,1.94,14,357,429
"DYNC1I1",-75.5,0.203,13,306,377
"UNC93B1",-75.5,1.83,16,383,459
"KIAA1524",-75.4,0.396,15,350,425
"RGMA",-75.3,0.195,16,418,495
"CD109",-75.3,0.31,15,376,451
"TP73",-75.2,0.263,14,253,325
"CLSTN1",-75.2,0.522,16,268,344
"C3orf17",-75.2,0.664,16,259,334
"UNG",-75.1,0.566,12,326,394
"PLAC2",-75.1,0.193,14,591,664
"ADCY6",-75.1,1.76,14,320,393
"PLS1",-74.8,2.15,16,383,458
"TMEM163",-74.8,3.66,10,303,365
"MBD2",-74.7,0.684,14,250,322
"PIK3R4",-74.7,0.663,17,302,379
"NFE2L1",-74.7,0.645,11,205,270
"HMGCS1",-74.6,0.42,14,301,373
"MPHOSPH6",-74.4,0.56,15,298,372
"BCL11B",-74.4,0.345,16,216,292
"TRAM1",-74.3,1.89,11,280,346
"CD55",-74.3,3.2,17,374,453
"TUBA1C",-74.2,0.529,15,313,387
"TCEA3",-74.1,2.27,14,241,312
"C9orf167",-74.1,2.15,16,327,404
"CHRNB4",-74,0.176,14,378,451
"FOXA2",-74,4.39,13,356,427
"TMEM192",-73.9,1.57,16,292,369
"DLK2",-73.8,0.171,15,539,616
"FNBP1L",-73.8,1.77,16,347,425
"TOPBP1",-73.7,0.517,16,303,381
"RHCG",-73.6,0.0271,19,789,876
"WDR47",-73.6,0.604,16,303,380
"CLIC6",-73.5,4.56,16,348,426
"ADM",-73.4,0.25,14,461,535
"HES2",-73.2,0.152,17,510,591
"FAM123B",-73.1,0.52,14,271,344
"SMARCB1",-73.1,0.625,16,364,442
"SIL1",-73,1.67,16,254,331
"ASTE1",-73,0.654,12,273,342
"MBIP",-73,2.91,17,661,743
"SPRR2D",-72.9,0.0402,17,546,628
"CHDH",-72.9,2.86,15,426,503
"ARL6IP5",-72.8,1.82,14,329,402
"RMND5A",-72.8,0.623,12,334,402
"PRMT1",-72.8,0.61,13,305,376
"USP5",-72.7,0.637,18,322,403
"ACAP2",-72.7,0.42,20,875,962
"EIF4A2",-72.7,0.547,16,354,433
"IL1RN",-72.6,0.242,13,295,366
"PAX6",-72.6,0.233,13,276,347
"TMCO4",-72.6,1.59,16,322,400
"NCK1",-72.4,0.536,15,371,447
"GALNT10",-72.1,2.29,16,415,494
"OAZ3",-72.1,2.65,13,451,524
"LYSMD3",-72,1.65,14,370,444
"NRBP1",-72,0.715,14,306,378
"GPRC5C",-71.9,2.48,13,259,331
"TMEM8A",-71.9,1.73,15,345,421
"SLC4A4",-71.8,3.67,16,316,394
"KEAP1",-71.8,0.584,13,267,339
"CSE1L",-71.8,0.575,17,344,424
"TNPO2",-71.8,0.646,15,280,355
"PAFAH2",-71.8,1.71,19,549,635
"LOC388588",-71.7,2.97,15,272,347
"C22orf28",-71.7,0.663,18,298,379
"MUC21",-71.7,19.8,19,586,672
"GALE",-71.5,2.04,14,299,372
"ASAH1",-71.5,2.07,17,374,454
"ZNF69",-71.5,2.62,16,462,540
"ZC3H8",-71.5,0.536,14,313,387
"TMEM158",-71.4,0.233,14,365,440
"C22orf9",-71.4,0.585,13,300,371
"GLT25D1",-71.4,0.612,15,287,362
"ZWILCH",-71.4,0.549,16,324,403
"TSPAN15",-71.4,1.92,15,392,468
"LONRF3",-71.4,3.22,17,512,590
"LARP6",-71.3,0.397,17,470,550
"LOC729082",-71.3,0.61,14,313,387
"PHGDH",-71.3,0.278,17,398,478
"ABCA13",-71.2,0.209,16,295,373
"TOX3",-71.2,6.56,16,541,621
"CMTM8",-71.1,1.8,14,366,440
"TLE6",-71,3.34,15,353,430
"GTPBP8",-70.9,0.578,13,321,393
"TECR",-70.8,0.615,13,233,305
"PLCH2",-70.8,0.187,19,492,578
"GLB1L2",-70.7,3.1,14,325,400
"CLCN2",-70.7,0.407,17,231,309
"CORO6",-70.6,0.264,14,361,437
"UBE2S",-70.6,0.405,13,333,405
"MGLL",-70.6,2.42,18,288,370
"MDH1",-70.5,0.621,18,348,431
"FOXM1",-70.5,0.388,16,324,401
"TMEM201",-70.4,0.594,14,337,411
"MAGIX",-70.4,2.32,18,372,453
"C11orf54",-70.2,1.87,18,418,500
"TRPV4",-70.2,0.327,15,495,572
"PYROXD2",-70.1,2.59,13,304,377
"KCMF1",-70.1,0.65,15,417,493
"CECR5",-70.1,0.564,16,359,438
"PTPRE",-70,2.08,14,346,420
"LOC100132215",-69.9,0.263,15,330,408
"SLC34A2",-69.8,4.07,15,438,515
"NUDT1",-69.8,0.506,14,285,360
"GJB2",-69.8,0.138,15,277,354
"ADAM17",-69.7,0.555,14,312,386
"C20orf27",-69.7,0.588,18,319,402
"LRRC8D",-69.7,0.566,17,285,366
"DUSP14",-69.7,0.498,15,276,353
"SNTB1",-69.6,2.97,19,742,829
"HNMT",-69.6,2.28,16,408,487
"CARM1",-69.6,0.644,13,251,324
"DNAJC3",-69.5,1.55,17,343,423
"RPS6KA2",-69.3,2.49,17,347,427
"DNAJC19",-69.3,0.526,12,271,341
"SLC1A4",-69.3,0.408,16,234,312
"FJX1",-69.2,0.329,17,464,545
"ACAT2",-69.1,0.512,16,340,420
"ALDH3B2",-69.1,0.245,13,363,435
"RIOK1",-69,0.615,13,320,393
